lga_code,lga_name,longitude,latitude,pop_65_plus,percent_65_plus
42110,Goyder,139.074079,-33.64595,1236,29.9
42250,Grant,140.725743,-37.845722,1920,21.0
42600,Holdfast Bay,138.521304,-35.001212,10818,27.5
42750,Kangaroo Island,137.239707,-35.827801,1498,29.0
43080,Karoonda East Murray,140.020097,-34.950489,311,30.3
43220,Kimba,136.143805,-33.00268,246,23.1
43360,Kingston (SA),140.025515,-36.643507,769,32.0
43650,Light,138.84652,-34.411089,2900,17.0
43710,Lower Eyre Peninsula,135.595991,-34.411116,1330,21.3
43790,Loxton Waikerie,140.351632,-34.508208,3242,27.1
44000,Maralinga Tjarutja,130.96248,-29.349823,18,17.6
44060,Marion,138.539694,-35.032467,18827,18.9
44210,Mid Murray,139.461398,-34.450188,3092,32.2
44340,Mitcham,138.621746,-35.003902,14626,20.8
44550,Mount Barker,138.875001,-35.08579,7799,17.9
44620,Mount Gambier,140.781687,-37.825318,6073,21.8
44830,Mount Remarkable,138.20512,-32.758277,952,33.1
45040,Murray Bridge,139.301783,-35.159303,5326,22.9
45090,Naracoorte Lucindale,140.547315,-36.977252,1866,21.0
45120,Northern Areas,138.511427,-33.286379,1282,27.5
45290,Norwood Payneham and St Peters,138.636475,-34.907575,8215,20.5
45340,Onkaparinga,138.568872,-35.178694,37316,20.4
45400,Orroroo Carrieton,138.639362,-32.520749,282,31.7
45540,Peterborough,139.059652,-32.864099,578,34.4
45680,Playford,138.663014,-34.688872,13798,12.4
45890,Port Adelaide Enfield,138.561528,-34.840689,22345,15.8
46090,Port Augusta,137.751167,-32.591141,2585,17.9
46300,Port Lincoln,135.851142,-34.729188,3284,21.8
46450,Port Pirie,138.106013,-33.376852,4196,23.8
46510,Prospect,138.597951,-34.883996,3698,15.9
46670,Renmark Paringa,140.814127,-34.182258,2396,23.6
46860,Robe,139.979443,-37.18768,516,32.0
46970,Roxby Downs,136.881176,-30.554411,83,2.0
47140,Salisbury,138.611329,-34.772637,23851,15.9
47290,Southern Mallee,140.574361,-35.393899,495,24.6
47490,Streaky Bay,134.564064,-32.70876,608,26.7
47630,Tatiara,140.584448,-36.22791,1437,20.3
47700,Tea Tree Gully,138.718049,-34.80515,21633,20.7
47800,Coorong,139.751799,-35.711933,1533,27.3
47910,Tumby Bay,136.019715,-34.179336,931,31.6
47980,Unley,138.604055,-34.954771,8917,22.1
48050,Victor Harbor,138.546097,-35.512721,7318,42.7
48130,Wakefield,138.356513,-33.991421,1620,23.2
48260,Walkerville,138.617107,-34.892812,2008,23.5
48340,Wattle Range,140.518865,-37.470383,3224,26.2
48410,West Torrens,138.543835,-34.941446,11401,17.3
48540,Whyalla,137.494329,-33.037326,4252,19.4
48640,Wudinna,135.314646,-33.028655,261,22.3
48750,Yankalilla,138.337112,-35.518568,2190,35.4
48830,Yorke Peninsula,137.560116,-34.68354,4479,36.9
49399,Unincorporated SA,136.766294,-29.577306,513,17.0
50080,Albany,118.18228,-34.738353,10021,24.1
50210,Armadale,116.137,-32.167527,12982,11.9
50250,Ashburton,116.730494,-22.498131,335,4.1
50280,Augusta Margaret River,115.227807,-34.030816,3635,18.7
50350,Bassendean,115.945217,-31.903814,3065,17.9
50420,Bayswater,115.907818,-31.903756,12734,16.8
50490,Belmont,115.948309,-31.956221,6574,13.9
50560,Beverley,116.796596,-32.174656,610,34.0
50630,Boddington,116.399899,-32.816285,351,19.4
50770,Boyup Brook,116.524033,-33.89176,489,25.0
50840,Bridgetown-Greenbushes,116.190984,-34.003753,1637,28.2
50910,Brookton,117.003108,-32.361987,249,25.9
50980,Broome,122.463288,-18.67158,1544,8.2
51080,Broomehill-Tambellup,117.661327,-34.002495,181,16.4
51120,Bruce Rock,118.028634,-31.952581,285,26.7
51190,Bunbury,115.66441,-33.351652,7583,21.6
51260,Busselton,115.348891,-33.718431,10963,24.4
51310,Cambridge,115.786471,-31.936277,5714,17.9
51330,Canning,115.916338,-32.036892,15219,14.2
51400,Capel,115.635716,-33.532348,3069,15.6
51470,Carnamah,115.57784,-29.773206,165,28.2
51540,Carnarvon,114.393649,-24.348559,986,17.6
51610,Chapman Valley,115.059131,-28.322371,318,18.7
51680,Chittering,116.078339,-31.374401,1185,17.5
51710,Christmas Island,105.636497,-10.485334,263,14.1
51750,Claremont,115.780028,-31.980193,2985,23.6
51820,Cockburn,115.829299,-32.12822,18460,13.7
51860,Cocos Islands,96.830957,-12.173723,128,20.5
51890,Collie,116.21157,-33.28355,2228,23.7
51960,Coolgardie,120.964474,-31.186771,525,13.9
52030,Coorow,115.759225,-30.021599,372,33.1
52100,Corrigin,117.799037,-32.358355,290,27.9
52170,Cottesloe,115.758494,-31.994038,1986,22.1
52240,Cranbrook,117.285855,-34.314805,291,25.3
52310,Cuballing,117.159199,-32.735405,274,28.7
52380,Cue,117.94006,-27.310806,71,31.0
52450,Cunderdin,117.155724,-31.599574,254,19.3
52520,Dalwallinu,116.94477,-30.125233,256,17.5
52590,Dandaragan,115.506153,-30.539625,1093,27.9
52660,Dardanup,115.851889,-33.415414,3026,19.0
52730,Denmark,117.118804,-34.890453,1911,28.5
52800,Derby-West Kimberley,124.981212,-17.795302,725,8.5
52870,Donnybrook-Balingup,115.973547,-33.669548,1699,25.8
52940,Dowerin,117.111279,-31.107644,184,24.9
53010,Dumbleyung,117.964529,-33.224489,151,21.3
53080,Dundas,124.417969,-32.011311,174,24.1
53150,East Fremantle,115.768156,-32.037899,1665,19.9
53220,East Pilbara,123.596497,-21.768446,421,4.0
53290,Esperance,122.249666,-33.220518,2968,20.4
53360,Exmouth,114.166684,-22.523034,415,11.6
53430,Fremantle,115.770675,-32.061994,6955,19.1
53570,Gingin,115.699176,-31.191574,1684,26.5
53640,Gnowangerup,118.288758,-34.06212,209,16.4
53710,Goomalling,116.78475,-31.24283,247,24.9
53780,Gosnells,115.992161,-32.066215,19206,13.6
53800,Greater Geraldton,115.500211,-28.561546,7768,18.4
53920,Halls Creek,127.616809,-19.258091,277,6.6
53990,Harvey,115.91251,-33.101086,6003,19.1
54060,Irwin,115.091823,-29.326033,1257,32.5
54130,Jerramungup,119.101097,-34.070502,222,18.2
54170,Joondalup,115.766728,-31.783466,32426,18.7
54200,Kalamunda,116.122749,-32.012227,12192,19.1
54280,Kalgoorlie-Boulder,125.051308,-30.749401,2992,9.7
54310,Karratha,117.043157,-21.056788,871,3.5
54340,Katanning,117.684235,-33.648291,801,18.7
54410,Kellerberrin,117.814537,-31.582326,314,27.1
54480,Kent,118.572245,-33.550814,72,13.7
54550,Kojonup,117.04802,-33.907618,463,23.6
